Team,Season,home_goals,away_goals
St. Mirren,2008/2009,2,0
Falkirk,2008/2009,1,1
St. Mirren,2008/2009,2,1
Aberdeen,2008/2009,2,2
Dundee United,2008/2009,2,0
Heart of Midlothian,2008/2009,0,1
Motherwell,2008/2009,1,0
Celtic,2008/2009,1,2
Aberdeen,2008/2009,2,0
Hamilton Academical FC,2008/2009,1,1
Hibernian,2008/2009,1,4
Falkirk,2008/2009,2,1
Inverness Caledonian Thistle,2008/2009,1,2
Celtic,2008/2009,1,3
Inverness Caledonian Thistle,2008/2009,1,0
Rangers,2008/2009,2,1
Motherwell,2008/2009,2,0
Dundee United,2008/2009,0,2
Hibernian,2008/2009,1,1
Kilmarnock,2008/2009,1,0
Hamilton Academical FC,2008/2009,7,1
Heart of Midlothian,2008/2009,1,0
Celtic,2008/2009,2,0
Aberdeen,2008/2009,1,2
Dundee United,2008/2009,1,3
St. Mirren,2008/2009,1,2
Heart of Midlothian,2008/2009,1,1
Rangers,2008/2009,2,2
Kilmarnock,2008/2009,0,2
Hamilton Academical FC,2008/2009,2,0
Falkirk,2008/2009,2,1
Inverness Caledonian Thistle,2008/2009,2,0
Hibernian,2008/2009,1,0
Dundee United,2008/2009,0,0
St. Mirren,2008/2009,0,1
Aberdeen,2008/2009,0,3
Celtic,2008/2009,0,3
Motherwell,2008/2009,2,0
Heart of Midlothian,2008/2009,2,0
Celtic,2008/2009,1,1
Aberdeen,2008/2009,0,1
Falkirk,2008/2009,3,2
Hamilton Academical FC,2008/2009,0,1
Kilmarnock,2008/2009,0,0
Celtic,2008/2009,0,1
Falkirk,2008/2009,1,0
Inverness Caledonian Thistle,2008/2009,3,2
Kilmarnock,2008/2009,2,4
Heart of Midlothian,2008/2009,1,0
Hamilton Academical FC,2008/2009,1,0
Dundee United,2008/2009,2,2
Hibernian,2008/2009,0,0
Rangers,2008/2009,0,3
Motherwell,2008/2009,0,0
Kilmarnock,2008/2009,1,1
Aberdeen,2008/2009,2,0
Falkirk,2008/2009,3,1
Motherwell,2008/2009,0,4
St. Mirren,2008/2009,2,0
Heart of Midlothian,2008/2009,0,2
Celtic,2008/2009,4,2
Inverness Caledonian Thistle,2008/2009,1,0
Hibernian,2008/2009,3,1
St. Mirren,2008/2009,3,2
Falkirk,2008/2009,1,1
Inverness Caledonian Thistle,2008/2009,3,2
Hamilton Academical FC,2008/2009,0,1
Rangers,2008/2009,0,0
Dundee United,2008/2009,2,0
Motherwell,2008/2009,1,1
Celtic,2008/2009,0,0
Kilmarnock,2008/2009,1,1
Aberdeen,2008/2009,1,0
Heart of Midlothian,2008/2009,2,0
Rangers,2008/2009,0,0
Inverness Caledonian Thistle,2008/2009,1,1
Hamilton Academical FC,2008/2009,1,0
Aberdeen,2008/2009,2,1
Hibernian,2008/2009,1,1
Falkirk,2008/2009,2,2
Kilmarnock,2008/2009,3,1
Celtic,2008/2009,1,1
St. Mirren,2008/2009,1,1
Dundee United,2008/2009,2,2
Hibernian,2008/2009,2,0
Hamilton Academical FC,2008/2009,1,2
St. Mirren,2008/2009,7,0
Heart of Midlothian,2008/2009,0,1
Falkirk,2008/2009,0,0
Kilmarnock,2008/2009,0,0
Motherwell,2008/2009,1,2
Rangers,2008/2009,0,1
Inverness Caledonian Thistle,2008/2009,0,1
Motherwell,2008/2009,2,1
Celtic,2008/2009,1,2
Aberdeen,2008/2009,1,1
Dundee United,2008/2009,0,1
Hibernian,2008/2009,0,1
Falkirk,2008/2009,4,0
Dundee United,2008/2009,2,1
Heart of Midlothian,2008/2009,1,0
Hamilton Academical FC,2008/2009,1,0
Kilmarnock,2008/2009,2,1
Rangers,2008/2009,1,2
Falkirk,2008/2009,3,0
Dundee United,2008/2009,1,1
St. Mirren,2008/2009,2,1
Hamilton Academical FC,2008/2009,1,0
Rangers,2008/2009,1,1
Hibernian,2008/2009,1,1
Heart of Midlothian,2008/2009,2,2
Celtic,2008/2009,2,2
Aberdeen,2008/2009,0,0
Motherwell,2008/2009,0,0
Inverness Caledonian Thistle,2008/2009,4,0
St. Mirren,2008/2009,0,0
Hamilton Academical FC,2008/2009,4,0
Hibernian,2008/2009,2,2
Aberdeen,2008/2009,1,1
Kilmarnock,2008/2009,3,1
St. Mirren,2008/2009,2,1
Rangers,2008/2009,0,1
Motherwell,2008/2009,3,1
Celtic,2008/2009,1,1
Falkirk,2008/2009,3,0
Inverness Caledonian Thistle,2008/2009,1,0
Hibernian,2008/2009,1,1
Dundee United,2008/2009,0,1
Aberdeen,2008/2009,2,0
Kilmarnock,2008/2009,0,0
St. Mirren,2008/2009,0,2
Rangers,2008/2009,2,3
Hamilton Academical FC,2008/2009,1,1
Heart of Midlothian,2008/2009,0,0
Celtic,2008/2009,1,3
Motherwell,2008/2009,2,1
Kilmarnock,2008/2009,2,1
Dundee United,2008/2009,1,2
Inverness Caledonian Thistle,2008/2009,1,2
Heart of Midlothian,2008/2009,2,0
Hibernian,2008/2009,0,1
Celtic,2008/2009,1,0
Aberdeen,2008/2009,1,1
Falkirk,2008/2009,1,1
Motherwell,2008/2009,1,3
Hamilton Academical FC,2008/2009,1,1
Dundee United,2008/2009,2,1
St. Mirren,2008/2009,2,1
Inverness Caledonian Thistle,2008/2009,2,2
Falkirk,2008/2009,0,1
Heart of Midlothian,2008/2009,0,0
Rangers,2008/2009,1,1
Aberdeen,2008/2009,2,1
Inverness Caledonian Thistle,2008/2009,1,0
Dundee United,2008/2009,3,0
Motherwell,2008/2009,0,3
St. Mirren,2008/2009,0,2
Celtic,2008/2009,0,0
Kilmarnock,2008/2009,1,2
Hamilton Academical FC,2008/2009,0,1
Falkirk,2008/2009,0,1
Hibernian,2008/2009,2,1
Heart of Midlothian,2008/2009,0,0
Rangers,2008/2009,0,3
Rangers,2008/2009,2,4
Kilmarnock,2008/2009,0,2
Motherwell,2008/2009,0,1
Aberdeen,2008/2009,0,1
Inverness Caledonian Thistle,2008/2009,1,2
Heart of Midlothian,2008/2009,1,2
Kilmarnock,2008/2009,2,1
Celtic,2008/2009,2,4
Dundee United,2008/2009,2,1
Hamilton Academical FC,2008/2009,1,2
St. Mirren,2008/2009,1,2
Heart of Midlothian,2008/2009,2,1
Inverness Caledonian Thistle,2008/2009,1,0
Celtic,2008/2009,1,3
Dundee United,2008/2009,0,1
Falkirk,2008/2009,1,1
Hibernian,2008/2009,0,1
Motherwell,2008/2009,2,1
Aberdeen,2008/2009,3,2
Heart of Midlothian,2008/2009,3,0
St. Mirren,2008/2009,2,1
Rangers,2008/2009,0,3
Kilmarnock,2008/2009,3,1
Hamilton Academical FC,2008/2009,4,1
Hamilton Academical FC,2008/2009,4,0
Inverness Caledonian Thistle,2008/2009,2,1
Kilmarnock,2008/2009,1,2
Hibernian,2008/2009,1,2
Rangers,2008/2009,1,0
Falkirk,2008/2009,3,2
Dundee United,2008/2009,3,3
Heart of Midlothian,2008/2009,1,1
Motherwell,2008/2009,1,0
Celtic,2008/2009,1,2
Aberdeen,2008/2009,0,1
St. Mirren,2008/2009,1,2
Falkirk,2009/2010,4,1
Heart of Midlothian,2009/2010,2,0
Celtic,2009/2010,1,3
Hamilton Academical FC,2009/2010,3,0
St. Mirren,2009/2010,2,1
Motherwell,2009/2010,2,2
Rangers,2009/2010,0,3
Hamilton Academical FC,2009/2010,0,2
Falkirk,2009/2010,3,1
Heart of Midlothian,2009/2010,1,0
Aberdeen,2009/2010,2,0
Kilmarnock,2009/2010,3,0
St. Mirren,2009/2010,2,1
Dundee United,2009/2010,0,2
Hibernian,2009/2010,0,0
St. Johnstone FC,2009/2010,2,1
Motherwell,2009/2010,2,2
Celtic,2009/2010,3,3
Kilmarnock,2009/2010,3,0
Celtic,2009/2010,2,1
Hamilton Academical FC,2009/2010,2,0
St. Johnstone FC,2009/2010,1,2
Aberdeen,2009/2010,1,1
Hibernian,2009/2010,1,1
Dundee United,2009/2010,2,2
Heart of Midlothian,2009/2010,1,2
Falkirk,2009/2010,2,0
St. Mirren,2009/2010,3,1
Rangers,2009/2010,1,0
Hamilton Academical FC,2009/2010,1,1
St. Mirren,2009/2010,3,2
Rangers,2009/2010,1,3
Motherwell,2009/2010,2,0
Kilmarnock,2009/2010,0,1
Heart of Midlothian,2009/2010,2,1
Aberdeen,2009/2010,3,0
Hibernian,2009/2010,1,1
Falkirk,2009/2010,1,1
Hamilton Academical FC,2009/2010,1,2
Dundee United,2009/2010,0,0
Celtic,2009/2010,2,3
St. Johnstone FC,2009/2010,3,0
Hibernian,2009/2010,0,2
Dundee United,2009/2010,0,1
Celtic,2009/2010,2,1
Falkirk,2009/2010,1,2
Motherwell,2009/2010,6,1
St. Mirren,2009/2010,1,0
Heart of Midlothian,2009/2010,0,1
Kilmarnock,2009/2010,0,0
Aberdeen,2009/2010,1,0
Hamilton Academical FC,2009/2010,2,0
St. Johnstone FC,2009/2010,1,3
Rangers,2009/2010,1,4
Dundee United,2009/2010,7,1
Hibernian,2009/2010,5,1
Celtic,2009/2010,1,0
Motherwell,2009/2010,1,0
St. Mirren,2009/2010,1,0
Falkirk,2009/2010,0,1
St. Johnstone FC,2009/2010,1,2
Hamilton Academical FC,2009/2010,1,0
Heart of Midlothian,2009/2010,1,1
Kilmarnock,2009/2010,1,0
Rangers,2009/2010,1,1
Aberdeen,2009/2010,0,1
Hibernian,2009/2010,1,3
St. Johnstone FC,2009/2010,5,2
Dundee United,2009/2010,0,0
Aberdeen,2009/2010,0,3
Kilmarnock,2009/2010,3,1
Rangers,2009/2010,1,2
Hibernian,2009/2010,1,0
Rangers,2009/2010,0,1
St. Mirren,2009/2010,1,0
Motherwell,2009/2010,0,3
Aberdeen,2009/2010,1,0
Falkirk,2009/2010,1,1
Celtic,2009/2010,1,4
Heart of Midlothian,2009/2010,1,1
Kilmarnock,2009/2010,1,0
Dundee United,2009/2010,1,4
Hamilton Academical FC,2009/2010,5,1
St. Mirren,2009/2010,2,0
Hibernian,2009/2010,1,2
St. Johnstone FC,2009/2010,3,3
Motherwell,2009/2010,0,0
Kilmarnock,2009/2010,0,0
Rangers,2009/2010,0,2
Aberdeen,2009/2010,0,3
Dundee United,2009/2010,4,4
Falkirk,2009/2010,3,0
Heart of Midlothian,2009/2010,1,0
St. Mirren,2009/2010,2,1
Motherwell,2009/2010,0,3
Celtic,2009/2010,0,1
Hamilton Academical FC,2009/2010,0,2
St. Johnstone FC,2009/2010,1,1
Kilmarnock,2009/2010,0,1
Aberdeen,2009/2010,2,2
Rangers,2009/2010,1,1
Heart of Midlothian,2009/2010,2,0
Motherwell,2009/2010,0,0
Falkirk,2009/2010,3,2
St. Johnstone FC,2009/2010,3,2
Dundee United,2009/2010,1,2
Hibernian,2009/2010,3,0
Celtic,2009/2010,4,4
Hibernian,2009/2010,1,0
Dundee United,2009/2010,1,0
Aberdeen,2009/2010,3,1
Hamilton Academical FC,2009/2010,2,0
St. Mirren,2009/2010,1,1
Rangers,2009/2010,4,1
Kilmarnock,2009/2010,1,0
St. Johnstone FC,2009/2010,1,1
Falkirk,2009/2010,3,0
Heart of Midlothian,2009/2010,0,1
Hamilton Academical FC,2009/2010,0,0
Celtic,2009/2010,1,0
Motherwell,2009/2010,1,2
St. Mirren,2009/2010,3,1
Aberdeen,2009/2010,1,1
Kilmarnock,2009/2010,1,0
Celtic,2009/2010,0,2
Heart of Midlothian,2009/2010,1,0
Falkirk,2009/2010,2,2
Hibernian,2009/2010,2,1
Motherwell,2009/2010,0,0
Rangers,2009/2010,0,2
St. Johnstone FC,2009/2010,3,0
Dundee United,2009/2010,2,2
St. Mirren,2009/2010,1,2
Motherwell,2009/2010,0,0
Falkirk,2009/2010,2,1
Celtic,2009/2010,0,1
Hamilton Academical FC,2009/2010,4,1
Heart of Midlothian,2009/2010,2,2
Dundee United,2009/2010,2,4
Hamilton Academical FC,2009/2010,1,2
Heart of Midlothian,2009/2010,3,1
Aberdeen,2009/2010,3,1
Falkirk,2009/2010,1,1
Celtic,2009/2010,4,0
St. Johnstone FC,2009/2010,1,0
Rangers,2009/2010,1,4
Kilmarnock,2009/2010,3,1
Hibernian,2009/2010,1,3
Motherwell,2009/2010,3,0
St. Mirren,2009/2010,2,1
Hamilton Academical FC,2009/2010,1,0
Dundee United,2009/2010,0,1
Heart of Midlothian,2009/2010,1,1
Falkirk,2009/2010,0,1
Aberdeen,2009/2010,2,0
Celtic,2009/2010,0,1
Motherwell,2009/2010,2,1
St. Johnstone FC,2009/2010,1,3
St. Mirren,2009/2010,2,1
Rangers,2009/2010,0,0
Kilmarnock,2009/2010,1,0
Hibernian,2009/2010,4,1
Hibernian,2009/2010,3,2
Dundee United,2009/2010,2,3
Heart of Midlothian,2009/2010,2,0
Falkirk,2009/2010,1,0
Kilmarnock,2009/2010,3,0
St. Mirren,2009/2010,2,2
Motherwell,2009/2010,0,2
Celtic,2009/2010,0,2
Rangers,2009/2010,0,1
Hamilton Academical FC,2009/2010,0,1
Aberdeen,2009/2010,1,1
Kilmarnock,2009/2010,1,0
Motherwell,2009/2010,4,0
Rangers,2009/2010,1,2
Heart of Midlothian,2009/2010,1,2
Hamilton Academical FC,2009/2010,1,3
St. Mirren,2009/2010,1,1
St. Johnstone FC,2009/2010,1,2
Rangers,2009/2010,2,1
Dundee United,2009/2010,0,0
Kilmarnock,2009/2010,1,2
St. Johnstone FC,2009/2010,0,0
St. Mirren,2009/2010,0,0
Hibernian,2009/2010,6,6
Falkirk,2009/2010,0,0
Hamilton Academical FC,2009/2010,2,3
Aberdeen,2009/2010,0,1
Hibernian,2009/2010,0,2
Celtic,2009/2010,1,2
Motherwell,2009/2010,3,3
Aberdeen,2009/2010,0,0
Dundee United,2009/2010,1,1
St. Johnstone FC,2009/2010,1,1
Rangers,2009/2010,0,0
Kilmarnock,2009/2010,1,0
Hibernian,2009/2010,2,0
St. Johnstone FC,2009/2010,3,0
Rangers,2009/2010,0,0
Heart of Midlothian,2009/2010,2,1
Falkirk,2009/2010,0,0
St. Mirren,2009/2010,1,0
Motherwell,2009/2010,0,1
Hamilton Academical FC,2009/2010,2,1
Aberdeen,2009/2010,0,0
Dundee United,2009/2010,2,3
Kilmarnock,2009/2010,0,0
Celtic,2009/2010,0,2
Hibernian,2009/2010,1,3
Falkirk,2009/2010,1,0
Celtic,2009/2010,2,1
Dundee United,2009/2010,1,1
Heart of Midlothian,2009/2010,2,1
St. Johnstone FC,2009/2010,0,2
Aberdeen,2009/2010,1,1
Rangers,2009/2010,1,2
Kilmarnock,2009/2010,1,0
Hamilton Academical FC,2009/2010,1,1
St. Mirren,2009/2010,1,3
Heart of Midlothian,2009/2010,1,1
Motherwell,2009/2010,0,0
Dundee United,2009/2010,0,2
Celtic,2009/2010,1,2
Falkirk,2009/2010,0,0
St. Johnstone FC,2009/2010,2,1
Motherwell,2009/2010,3,3
Hibernian,2009/2010,1,1
Hamilton Academical FC,2010/2011,4,0
St. Johnstone FC,2010/2011,1,1
Celtic,2010/2011,0,1
Hibernian,2010/2011,2,3
Kilmarnock,2010/2011,2,1
Dundee United,2010/2011,1,1
Inverness Caledonian Thistle,2010/2011,1,1
Hibernian,2010/2011,1,0
Hamilton Academical FC,2010/2011,0,1
Kilmarnock,2010/2011,0,3
Celtic,2010/2011,0,3
Aberdeen,2010/2011,2,1
Aberdeen,2010/2011,9,0
Heart of Midlothian,2010/2011,0,2
Kilmarnock,2010/2011,0,3
Motherwell,2010/2011,1,2
Rangers,2010/2011,1,3
Dundee United,2010/2011,0,1
Hibernian,2010/2011,0,3
St. Mirren,2010/2011,1,2
St. Johnstone FC,2010/2011,4,0
Celtic,2010/2011,2,0
Hamilton Academical FC,2010/2011,3,0
Inverness Caledonian Thistle,2010/2011,1,2
Aberdeen,2010/2011,2,0
Kilmarnock,2010/2011,1,1
Motherwell,2010/2011,2,1
Heart of Midlothian,2010/2011,0,2
Celtic,2010/2011,0,1
Inverness Caledonian Thistle,2010/2011,1,3
Dundee United,2010/2011,1,1
Hamilton Academical FC,2010/2011,2,0
Rangers,2010/2011,2,3
St. Johnstone FC,2010/2011,0,1
Hibernian,2010/2011,4,2
Motherwell,2010/2011,1,1
Inverness Caledonian Thistle,2010/2011,2,2
Rangers,2010/2011,0,4
Heart of Midlothian,2010/2011,1,2
St. Johnstone FC,2010/2011,0,0
Aberdeen,2010/2011,2,0
St. Mirren,2010/2011,0,0
Heart of Midlothian,2010/2011,1,0
Kilmarnock,2010/2011,0,1
St. Mirren,2010/2011,2,0
Hamilton Academical FC,2010/2011,2,0
Celtic,2010/2011,0,3
Dundee United,2010/2011,0,2
Kilmarnock,2010/2011,1,1
Motherwell,2010/2011,2,0
Aberdeen,2010/2011,5,0
Rangers,2010/2011,1,1
St. Johnstone FC,2010/2011,1,2
Hibernian,2010/2011,1,2
St. Mirren,2010/2011,2,1
Inverness Caledonian Thistle,2010/2011,1,1
Dundee United,2010/2011,0,0
Hibernian,2010/2011,2,1
Motherwell,2010/2011,1,2
Celtic,2010/2011,1,1
St. Johnstone FC,2010/2011,2,0
Hamilton Academical FC,2010/2011,2,1
Rangers,2010/2011,1,4
Aberdeen,2010/2011,1,2
Heart of Midlothian,2010/2011,1,2
St. Mirren,2010/2011,1,2
St. Mirren,2010/2011,4,0
Rangers,2010/2011,0,3
Aberdeen,2010/2011,0,1
Motherwell,2010/2011,0,1
Heart of Midlothian,2010/2011,0,4
Inverness Caledonian Thistle,2010/2011,0,4
Motherwell,2010/2011,1,0
Dundee United,2010/2011,2,2
Rangers,2010/2011,0,2
Kilmarnock,2010/2011,1,3
Heart of Midlothian,2010/2011,0,2
Aberdeen,2010/2011,0,1
Celtic,2010/2011,0,2
Hibernian,2010/2011,1,0
Inverness Caledonian Thistle,2010/2011,1,0
Dundee United,2010/2011,1,1
Kilmarnock,2010/2011,0,2
Motherwell,2010/2011,0,0
Hamilton Academical FC,2010/2011,4,0
Heart of Midlothian,2010/2011,2,0
Inverness Caledonian Thistle,2010/2011,0,0
Celtic,2010/2011,0,3
St. Johnstone FC,2010/2011,1,1
St. Mirren,2010/2011,2,0
Aberdeen,2010/2011,1,0
Hibernian,2010/2011,2,0
Rangers,2010/2011,1,0
St. Mirren,2010/2011,0,0
Dundee United,2010/2011,1,1
Hamilton Academical FC,2010/2011,1,1
Heart of Midlothian,2010/2011,4,0
Rangers,2010/2011,0,2
Motherwell,2010/2011,1,0
Aberdeen,2010/2011,0,2
Dundee United,2010/2011,1,1
Kilmarnock,2010/2011,1,1
Inverness Caledonian Thistle,2010/2011,1,0
Hibernian,2010/2011,3,0
St. Mirren,2010/2011,0,1
St. Johnstone FC,2010/2011,1,0
Celtic,2010/2011,0,4
Hamilton Academical FC,2010/2011,1,0
Motherwell,2010/2011,6,0
Kilmarnock,2010/2011,2,1
Aberdeen,2010/2011,0,0
Inverness Caledonian Thistle,2010/2011,3,3
Heart of Midlothian,2010/2011,0,2
Celtic,2010/2011,1,3
Rangers,2010/2011,3,0
Hamilton Academical FC,2010/2011,1,0
Dundee United,2010/2011,2,1
Kilmarnock,2010/2011,5,0
St. Johnstone FC,2010/2011,2,0
Hibernian,2010/2011,0,1
St. Johnstone FC,2010/2011,4,0
Celtic,2010/2011,2,0
Inverness Caledonian Thistle,2010/2011,2,0
St. Mirren,2010/2011,2,0
Heart of Midlothian,2010/2011,0,0
Dundee United,2010/2011,1,1
Hamilton Academical FC,2010/2011,2,0
Aberdeen,2010/2011,3,1
Kilmarnock,2010/2011,0,2
Hibernian,2010/2011,1,1
Motherwell,2010/2011,3,0
Rangers,2010/2011,0,1
St. Johnstone FC,2010/2011,2,1
Celtic,2010/2011,0,1
Kilmarnock,2010/2011,0,1
Hamilton Academical FC,2010/2011,0,1
Hibernian,2010/2011,1,0
Dundee United,2010/2011,1,1
Hibernian,2010/2011,3,1
Inverness Caledonian Thistle,2010/2011,1,0
St. Mirren,2010/2011,3,2
Motherwell,2010/2011,3,1
Rangers,2010/2011,0,1
St. Johnstone FC,2010/2011,0,0
Dundee United,2010/2011,2,3
Aberdeen,2010/2011,2,1
Heart of Midlothian,2010/2011,2,2
Kilmarnock,2010/2011,0,0
Celtic,2010/2011,3,2
Hamilton Academical FC,2010/2011,3,1
St. Mirren,2010/2011,1,0
St. Johnstone FC,2010/2011,2,0
Motherwell,2010/2011,0,0
Inverness Caledonian Thistle,2010/2011,1,1
Hibernian,2010/2011,0,1
Rangers,2010/2011,0,1
Kilmarnock,2010/2011,2,1
Dundee United,2010/2011,2,1
Hamilton Academical FC,2010/2011,1,2
Celtic,2010/2011,0,1
Heart of Midlothian,2010/2011,1,1
Aberdeen,2010/2011,3,2
Celtic,2010/2011,0,0
Kilmarnock,2010/2011,4,2
Motherwell,2010/2011,3,3
St. Mirren,2010/2011,1,1
Inverness Caledonian Thistle,2010/2011,0,3
Aberdeen,2010/2011,1,1
Heart of Midlothian,2010/2011,2,2
Rangers,2010/2011,0,5
Dundee United,2010/2011,4,1
Inverness Caledonian Thistle,2010/2011,1,0
St. Johnstone FC,2010/2011,1,2
Hamilton Academical FC,2010/2011,0,1
Motherwell,2010/2011,4,0
Heart of Midlothian,2010/2011,4,0
St. Johnstone FC,2010/2011,0,2
Hibernian,2010/2011,1,0
St. Mirren,2010/2011,1,0
Celtic,2010/2011,0,2
Dundee United,2010/2011,2,0
St. Mirren,2010/2011,0,1
Hamilton Academical FC,2010/2011,1,0
Celtic,2010/2011,0,3
Kilmarnock,2010/2011,1,1
Hibernian,2010/2011,2,0
Inverness Caledonian Thistle,2010/2011,1,2
Aberdeen,2010/2011,1,3
St. Johnstone FC,2010/2011,0,0
Motherwell,2010/2011,4,0
Heart of Midlothian,2010/2011,2,1
Rangers,2010/2011,1,5
Heart of Midlothian,2010/2011,3,0
Aberdeen,2010/2011,3,1
Inverness Caledonian Thistle,2010/2011,1,1
Motherwell,2010/2011,0,2
St. Mirren,2010/2011,2,1
Rangers,2010/2011,1,2
Dundee United,2010/2011,4,0
Aberdeen,2010/2011,1,1
Hamilton Academical FC,2010/2011,1,1
St. Mirren,2010/2011,2,1
Celtic,2010/2011,1,2
Heart of Midlothian,2010/2011,1,3
Hibernian,2010/2011,2,1
St. Johnstone FC,2010/2011,1,0
Motherwell,2010/2011,0,2
Rangers,2010/2011,2,3
Inverness Caledonian Thistle,2010/2011,1,2
Kilmarnock,2010/2011,2,2
Hamilton Academical FC,2010/2011,3,1
St. Mirren,2010/2011,3,1
Rangers,2010/2011,1,2
Hibernian,2010/2011,2,0
Dundee United,2010/2011,1,2
Aberdeen,2010/2011,2,0
Motherwell,2010/2011,4,1
Celtic,2010/2011,1,2
Kilmarnock,2010/2011,2,1
Heart of Midlothian,2010/2011,0,1
St. Johnstone FC,2010/2011,1,1
Hamilton Academical FC,2010/2011,2,2
Rangers,2010/2011,1,3
Dundee United,2010/2011,2,1
St. Mirren,2010/2011,3,0
Inverness Caledonian Thistle,2010/2011,1,2
Hibernian,2010/2011,4,2
St. Johnstone FC,2010/2011,1,2
St. Johnstone FC,2011/2012,0,0
St. Mirren,2011/2012,0,0
Celtic,2011/2012,0,2
Inverness Caledonian Thistle,2011/2012,3,0
Heart of Midlothian,2011/2012,1,1
Kilmarnock,2011/2012,1,1
Dunfermline Athletic,2011/2012,4,0
Motherwell,2011/2012,1,3
Celtic,2011/2012,2,0
St. Mirren,2011/2012,2,1
St. Johnstone FC,2011/2012,1,2
Hibernian,2011/2012,1,0
Dundee United,2011/2012,3,1
Heart of Midlothian,2011/2012,0,2
Motherwell,2011/2012,0,1
Celtic,2011/2012,3,3
St. Mirren,2011/2012,1,1
Inverness Caledonian Thistle,2011/2012,2,0
Aberdeen,2011/2012,2,1
St. Johnstone FC,2011/2012,0,0
Rangers,2011/2012,0,2
Dunfermline Athletic,2011/2012,1,1
Kilmarnock,2011/2012,0,0
Hibernian,2011/2012,2,3
Rangers,2011/2012,1,2
Hibernian,2011/2012,0,0
Dundee United,2011/2012,1,4
Kilmarnock,2011/2012,0,1
Motherwell,2011/2012,2,3
St. Mirren,2011/2012,0,1
Dunfermline Athletic,2011/2012,0,1
Inverness Caledonian Thistle,2011/2012,3,6
Celtic,2011/2012,1,2
Dundee United,2011/2012,3,1
Aberdeen,2011/2012,1,2
Heart of Midlothian,2011/2012,0,0
Motherwell,2011/2012,1,2
Heart of Midlothian,2011/2012,1,0
Kilmarnock,2011/2012,1,1
Celtic,2011/2012,0,2
St. Johnstone FC,2011/2012,0,0
Dunfermline Athletic,2011/2012,2,1
St. Mirren,2011/2012,5,0
Aberdeen,2011/2012,3,3
Inverness Caledonian Thistle,2011/2012,2,1
Rangers,2011/2012,1,0
Dundee United,2011/2012,0,0
Hibernian,2011/2012,3,1
Celtic,2011/2012,0,1
St. Johnstone FC,2011/2012,1,2
Aberdeen,2011/2012,2,0
Hibernian,2011/2012,4,3
Dunfermline Athletic,2011/2012,2,1
Inverness Caledonian Thistle,2011/2012,1,2
St. Mirren,2011/2012,2,2
Heart of Midlothian,2011/2012,1,0
Kilmarnock,2011/2012,1,1
Rangers,2011/2012,0,2
Dundee United,2011/2012,2,3
Motherwell,2011/2012,0,3
Hibernian,2011/2012,1,0
Dunfermline Athletic,2011/2012,4,0
Dundee United,2011/2012,1,1
St. Mirren,2011/2012,1,1
Inverness Caledonian Thistle,2011/2012,2,1
Celtic,2011/2012,0,2
Dunfermline Athletic,2011/2012,2,1
Hibernian,2011/2012,0,1
Motherwell,2011/2012,0,0
Rangers,2011/2012,0,2
Aberdeen,2011/2012,1,0
Dundee United,2011/2012,0,1
Kilmarnock,2011/2012,2,1
Hibernian,2011/2012,3,1
St. Johnstone FC,2011/2012,0,3
Motherwell,2011/2012,2,0
Aberdeen,2011/2012,2,1
Rangers,2011/2012,2,1
Heart of Midlothian,2011/2012,0,0
Rangers,2011/2012,1,0
Inverness Caledonian Thistle,2011/2012,1,1
Dunfermline Athletic,2011/2012,3,1
Kilmarnock,2011/2012,2,0
Dundee United,2011/2012,2,2
Aberdeen,2011/2012,1,2
Celtic,2011/2012,0,3
Heart of Midlothian,2011/2012,1,3
St. Johnstone FC,2011/2012,0,1
St. Mirren,2011/2012,2,1
Motherwell,2011/2012,3,0
Kilmarnock,2011/2012,0,0
Dundee United,2011/2012,2,1
Hibernian,2011/2012,2,3
St. Mirren,2011/2012,5,2
Inverness Caledonian Thistle,2011/2012,0,1
Rangers,2011/2012,1,2
Motherwell,2011/2012,1,1
St. Johnstone FC,2011/2012,2,3
Heart of Midlothian,2011/2012,1,0
Dunfermline Athletic,2011/2012,0,3
Aberdeen,2011/2012,1,1
Celtic,2011/2012,0,2
Dunfermline Athletic,2011/2012,1,0
Kilmarnock,2011/2012,4,0
Celtic,2011/2012,0,4
St. Mirren,2011/2012,0,0
St. Johnstone FC,2011/2012,3,2
Hibernian,2011/2012,4,0
Inverness Caledonian Thistle,2011/2012,1,0
Rangers,2011/2012,1,4
Aberdeen,2011/2012,0,0
Heart of Midlothian,2011/2012,1,1
Dundee United,2011/2012,1,5
Motherwell,2011/2012,0,0
St. Johnstone FC,2011/2012,0,0
St. Mirren,2011/2012,0,0
Inverness Caledonian Thistle,2011/2012,1,1
Celtic,2011/2012,0,5
Heart of Midlothian,2011/2012,3,0
Kilmarnock,2011/2012,0,1
Motherwell,2011/2012,1,0
Dundee United,2011/2012,0,2
Rangers,2011/2012,1,4
Hibernian,2011/2012,1,3
Dunfermline Athletic,2011/2012,3,1
Aberdeen,2011/2012,1,1
Celtic,2011/2012,1,1
Inverness Caledonian Thistle,2011/2012,3,0
Motherwell,2011/2012,0,2
St. Mirren,2011/2012,0,0
St. Johnstone FC,2011/2012,0,0
Heart of Midlothian,2011/2012,1,2
Celtic,2011/2012,0,1
St. Mirren,2011/2012,1,1
Inverness Caledonian Thistle,2011/2012,3,3
St. Johnstone FC,2011/2012,3,2
